"cty","Name","High_School_Graduation_Rate_rP_gP_pall"
"cty36059","Nassau County, NY",0.9441
"cty34003","Bergen County, NJ",0.9408
"cty34027","Morris County, NJ",0.9388
"cty34025","Monmouth County, NJ",0.9317
"cty34035","Somerset County, NJ",0.9306
"cty34023","Middlesex County, NJ",0.9287
"cty36103","Suffolk County, NY",0.924
"cty36085","Richmond County, NY",0.9233
"cty36119","Westchester County, NY",0.9217
"cty34039","Union County, NJ",0.914
"cty34013","Essex County, NJ",0.8898
"cty36081","Queens County, NY",0.8819
"cty34031","Passaic County, NJ",0.8767
"cty34017","Hudson County, NJ",0.8691
"cty36047","Kings County, NY",0.8375
"cty36061","New York County, NY",0.8127
"cty36005","Bronx County, NY",0.7783
